M,N,K,g,gm,gn,act_reuse_groups,wgt_reuse_groups,mtile,ntile,ktile,k_iters,area_x_g,resident_blocks,phase_count,cycles_total,cycles_compute,cycles_memory,cycles_control,cycles_exposed_load,overlap_hidden_cycles,overlap_hidden_ratio,overlap_hidden_load_ratio,overlap_ratio,utilization
256,640,2048,2,1,2,1,2,16,32,64,32,1024,3,1,819272.0,368640.0,1003520.0,0.0,430152.0,552888.0,0.674853,0.562427,0.550949,1.0
256,896,896,2,1,2,1,2,16,32,64,14,1024,3,1,517960.0,225792.0,630784.0,0.0,263496.0,338616.0,0.653749,0.56238,0.536818,1.0
256,896,4864,2,1,2,1,2,16,32,64,76,1024,3,1,2684488.0,1225728.0,3297280.0,0.0,1430088.0,1838520.0,0.684868,0.562478,0.557587,1.0
256,960,960,2,1,2,1,2,16,32,64,15,1024,3,1,592392.0,259200.0,721920.0,0.0,302472.0,388728.0,0.656201,0.562396,0.538464,1.0
256,960,2560,2,1,2,1,2,16,32,64,40,1024,3,1,1528392.0,691200.0,1873920.0,0.0,806472.0,1036728.0,0.678313,0.562461,0.55324,1.0
256,1024,640,2,1,2,1,2,16,32,64,10,1024,3,1,432200.0,184320.0,524288.0,0.0,215112.0,276408.0,0.639537,0.562354,0.527206,1.0
256,1024,2304,2,1,2,1,2,16,32,64,36,1024,3,1,1470536.0,663552.0,1802240.0,0.0,774216.0,995256.0,0.676798,0.562459,0.552233,1.0
256,1536,1536,2,1,2,1,2,16,32,64,24,1024,3,1,1486920.0,663552.0,1818624.0,0.0,774216.0,995256.0,0.669341,0.562459,0.547258,1.0
256,1536,8960,2,1,2,1,2,16,32,64,140,1024,3,1,8435784.0,3870720.0,10371072.0,0.0,4515912.0,5806008.0,0.688259,0.562493,0.559827,1.0
256,2048,640,2,1,2,1,2,16,32,64,10,1024,3,1,864328.0,368640.0,1048576.0,0.0,430152.0,552888.0,0.639674,0.562427,0.527275,1.0
256,2048,2048,2,1,2,1,2,16,32,64,32,1024,3,1,2621512.0,1179648.0,3211264.0,0.0,1376328.0,1769400.0,0.674954,0.562477,0.550998,1.0
256,2048,2304,2,1,2,1,2,16,32,64,36,1024,3,1,2941000.0,1327104.0,3604480.0,0.0,1548360.0,1990584.0,0.676839,0.56248,0.552253,1.0
256,2048,5632,2,1,2,1,2,16,32,64,88,1024,3,1,7094344.0,3244032.0,8716288.0,0.0,3784776.0,4865976.0,0.685895,0.562492,0.558262,1.0
256,2048,8192,2,1,2,1,2,16,32,64,128,1024,3,1,10289224.0,4718592.0,12648448.0,0.0,5505096.0,7077816.0,0.687886,0.562494,0.55958,1.0
256,2304,2048,2,1,2,1,2,16,32,64,32,1024,3,1,2949192.0,1327104.0,3612672.0,0.0,1548360.0,1990584.0,0.674959,0.56248,0.551,1.0
256,2304,9216,2,1,2,1,2,16,32,64,144,1024,3,1,13013064.0,5971968.0,15998976.0,0.0,6967368.0,8957880.0,0.688376,0.562495,0.559903,1.0
256,2560,960,2,1,2,1,2,16,32,64,15,1024,3,1,1579592.0,691200.0,1925120.0,0.0,806472.0,1036728.0,0.656326,0.562461,0.538526,1.0
256,2560,2560,2,1,2,1,2,16,32,64,40,1024,3,1,4075592.0,1843200.0,4997120.0,0.0,2150472.0,2764728.0,0.678362,0.562485,0.553264,1.0
256,2560,10240,2,1,2,1,2,16,32,64,160,1024,3,1,16056392.0,7372800.0,19742720.0,0.0,8601672.0,11059128.0,0.688768,0.562496,0.560162,1.0
256,4864,896,2,1,2,1,2,16,32,64,14,1024,3,1,2811464.0,1225728.0,3424256.0,0.0,1430088.0,1838520.0,0.653937,0.562478,0.536911,1.0
256,5632,2048,2,1,2,1,2,16,32,64,32,1024,3,1,7209032.0,3244032.0,8830976.0,0.0,3784776.0,4865976.0,0.674983,0.562492,0.551012,1.0
256,7680,2560,2,1,2,1,2,16,32,64,40,1024,3,1,12226632.0,5529600.0,14991360.0,0.0,6451272.0,8294328.0,0.678382,0.562495,0.553274,1.0
256,8192,2048,2,1,2,1,2,16,32,64,32,1024,3,1,10485832.0,4718592.0,12845056.0,0.0,5505096.0,7077816.0,0.674988,0.562494,0.551015,1.0
256,8960,1536,2,1,2,1,2,16,32,64,24,1024,3,1,8673352.0,3870720.0,10608640.0,0.0,4515912.0,5806008.0,0.669408,0.562493,0.547291,1.0
256,9216,2304,2,1,2,1,2,16,32,64,36,1024,3,1,13234248.0,5971968.0,16220160.0,0.0,6967368.0,8957880.0,0.676871,0.562495,0.552268,1.0
256,10240,2560,2,1,2,1,2,16,32,64,40,1024,3,1,16302152.0,7372800.0,19988480.0,0.0,8601672.0,11059128.0,0.678385,0.562496,0.553275,1.0
256,32000,2048,2,1,2,1,2,16,32,64,32,1024,3,1,40960072.0,18432000.0,50176000.0,0.0,21504072.0,27647928.0,0.674997,0.562499,0.551019,1.0
256,32768,2560,2,1,2,1,2,16,32,64,40,1024,3,1,52166728.0,23592960.0,63963136.0,0.0,27525192.0,35389368.0,0.67839,0.562499,0.553278,1.0
256,49152,960,2,1,2,1,2,16,32,64,15,1024,3,1,30326856.0,13271040.0,36962304.0,0.0,15482952.0,19906488.0,0.656398,0.562498,0.538562,1.0
256,49152,2048,2,1,2,1,2,16,32,64,32,1024,3,1,62914632.0,28311552.0,77070336.0,0.0,33030216.0,42467256.0,0.674998,0.562499,0.551019,1.0
256,50272,2048,2,2,1,2,1,16,32,64,32,1024,3,1,64348232.0,28956672.0,78826496.0,0.0,33782856.0,43434936.0,0.674998,0.562499,0.551019,1.0
256,100352,2048,2,1,2,1,2,16,32,64,32,1024,3,1,128450632.0,57802752.0,157351936.0,0.0,67436616.0,86704056.0,0.674999,0.5625,0.55102,1.0
256,151936,896,2,1,2,1,2,16,32,64,14,1024,3,1,87819080.0,38287872.0,106962944.0,0.0,44669256.0,57431736.0,0.653978,0.562499,0.536931,1.0
256,151936,1536,2,1,2,1,2,16,32,64,24,1024,3,1,147074120.0,65636352.0,179892224.0,0.0,76575816.0,98454456.0,0.669421,0.5625,0.547297,1.0
256,256000,2304,2,1,2,1,2,16,32,64,36,1024,3,1,367616072.0,165888000.0,450560000.0,0.0,193536072.0,248831928.0,0.67688,0.5625,0.552273,1.0
256,262144,640,2,1,2,1,2,16,32,64,10,1024,3,1,110624840.0,47185920.0,134217728.0,0.0,55050312.0,70778808.0,0.639809,0.562499,0.527343,1.0
512,128,896,2,1,2,1,2,16,32,64,14,1024,3,1,148040.0,64512.0,180224.0,0.0,75336.0,96696.0,0.653175,0.562081,0.536532,1.0
512,256,640,2,1,2,1,2,16,32,64,10,1024,3,1,216136.0,92160.0,262144.0,0.0,107592.0,138168.0,0.639264,0.562207,0.527069,1.0
512,256,1536,2,1,2,1,2,16,32,64,24,1024,3,1,495688.0,221184.0,606208.0,0.0,258120.0,331704.0,0.669179,0.562378,0.547179,1.0
512,256,2048,2,1,2,1,2,16,32,64,32,1024,3,1,655432.0,294912.0,802816.0,0.0,344136.0,442296.0,0.674816,0.562408,0.550931,1.0
512,320,960,2,1,2,1,2,16,32,64,15,1024,3,1,394952.0,172800.0,481280.0,0.0,201672.0,259128.0,0.6561,0.562344,0.538414,1.0
512,640,1024,2,1,2,1,2,16,32,64,16,1024,3,1,839752.0,368640.0,1024000.0,0.0,430152.0,552888.0,0.658394,0.562427,0.53993,1.0
512,640,2048,2,1,2,1,2,16,32,64,32,1024,3,1,1638472.0,737280.0,2007040.0,0.0,860232.0,1105848.0,0.674926,0.562463,0.550985,1.0
512,896,896,2,1,2,1,2,16,32,64,14,1024,3,1,1035848.0,451584.0,1261568.0,0.0,526920.0,677304.0,0.653864,0.56244,0.536875,1.0
512,896,4864,2,1,2,1,2,16,32,64,76,1024,3,1,5368904.0,2451456.0,6594560.0,0.0,2860104.0,3677112.0,0.684891,0.562489,0.557598,1.0
512,960,960,2,1,2,1,2,16,32,64,15,1024,3,1,1184712.0,518400.0,1443840.0,0.0,604872.0,777528.0,0.656301,0.562448,0.538514,1.0
512,960,2560,2,1,2,1,2,16,32,64,40,1024,3,1,3056712.0,1382400.0,3747840.0,0.0,1612872.0,2073528.0,0.678352,0.56248,0.553259,1.0
512,1024,640,2,1,2,1,2,16,32,64,10,1024,3,1,864328.0,368640.0,1048576.0,0.0,430152.0,552888.0,0.639674,0.562427,0.527275,1.0
512,1024,2304,2,1,2,1,2,16,32,64,36,1024,3,1,2941000.0,1327104.0,3604480.0,0.0,1548360.0,1990584.0,0.676839,0.56248,0.552253,1.0
512,1536,1536,2,1,2,1,2,16,32,64,24,1024,3,1,2973768.0,1327104.0,3637248.0,0.0,1548360.0,1990584.0,0.669381,0.56248,0.547278,1.0
512,1536,8960,2,1,2,1,2,16,32,64,140,1024,3,1,16871496.0,7741440.0,20742144.0,0.0,9031752.0,11612088.0,0.688267,0.562497,0.559831,1.0
512,2048,640,2,1,2,1,2,16,32,64,10,1024,3,1,1728584.0,737280.0,2097152.0,0.0,860232.0,1105848.0,0.639742,0.562463,0.527309,1.0
512,2048,2048,2,1,2,1,2,16,32,64,32,1024,3,1,5242952.0,2359296.0,6422528.0,0.0,2752584.0,3538872.0,0.674977,0.562489,0.551009,1.0
512,2048,2304,2,1,2,1,2,16,32,64,36,1024,3,1,5881928.0,2654208.0,7208960.0,0.0,3096648.0,3981240.0,0.67686,0.56249,0.552263,1.0
512,2048,5632,2,1,2,1,2,16,32,64,88,1024,3,1,14188616.0,6488064.0,17432576.0,0.0,7569480.0,9732024.0,0.685904,0.562496,0.558267,1.0
512,2048,8192,2,1,2,1,2,16,32,64,128,1024,3,1,20578376.0,9437184.0,25296896.0,0.0,11010120.0,14155704.0,0.687892,0.562497,0.559583,1.0
512,2304,2048,2,1,2,1,2,16,32,64,32,1024,3,1,5898312.0,2654208.0,7225344.0,0.0,3096648.0,3981240.0,0.67498,0.56249,0.55101,1.0
512,2304,9216,2,1,2,1,2,16,32,64,144,1024,3,1,26026056.0,11943936.0,31997952.0,0.0,13934664.0,17915832.0,0.688381,0.562498,0.559906,1.0
512,2560,960,2,1,2,1,2,16,32,64,15,1024,3,1,3159112.0,1382400.0,3850240.0,0.0,1612872.0,2073528.0,0.656364,0.56248,0.538545,1.0
512,2560,2560,2,1,2,1,2,16,32,64,40,1024,3,1,8151112.0,3686400.0,9994240.0,0.0,4300872.0,5529528.0,0.678377,0.562493,0.553271,1.0
512,2560,10240,2,1,2,1,2,16,32,64,160,1024,3,1,32112712.0,14745600.0,39485440.0,0.0,17203272.0,22118328.0,0.688772,0.562498,0.560164,1.0
512,4864,896,2,1,2,1,2,16,32,64,14,1024,3,1,5622856.0,2451456.0,6848512.0,0.0,2860104.0,3677112.0,0.653958,0.562489,0.536921,1.0
512,5632,2048,2,1,2,1,2,16,32,64,32,1024,3,1,14417992.0,6488064.0,17661952.0,0.0,7569480.0,9732024.0,0.674992,0.562496,0.551016,1.0
